ID,Length,Width,Size
0,210.4,77.3,210
1,205.2,85,210
2,211.3,80.2,210
3,195.3,83.1,215
4,210.4,89.4,215
5,213,97.8,220
6,234.9,99.8,220
7,215.5,83.8,220
8,226.3,94.6,225
9,223.3,90.3,225
10,221.2,80.9,225
11,227.1,84.9,230
12,218.3,95.2,230
13,229.7,86.8,230
14,228.5,93.4,235
15,233.8,96.4,235
16,235.1,93,235
17,239.5,86.8,240
18,237.2,91.2,240
19,243.6,9.8,240
20,239.3,93.1,245
21,240.2,102.9,245
22,245.3,89.6,245
23,243.1,93.4,250
24,238.8,96.1,250
25,239.3,99.5,250
26,243.9,101.5,255
27,246.9,98.9,255
28,246,96,255
29,254,92.6,260
30,251.7,100.9,260
31,252.7,99.5,260
32,257,98.2,265
33,259.8,104.8,265
34,257.7,104.5,265
35,260.9,100.9,270
36,264.8,100.7,270
37,265.9,103.6,270
38,261,105.8,275
39,253.8,107.3,275
40,263.9,98.9,275
41,280.6,108.2,280
42,275.8,106.5,280
43,266.6,98.9,280
44,272.2,93.1,285
45,280,105.9,285
46,283.8,118.9,285
47,273.1,108,290
48,276.1,101.7,290
49,289.1,114.7,290
50,288.8,107.3,295
51,290.1,114,300
